Country Name,Country Code,Series Name,,1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Brazil,BRA,Population growth (annual %),,2.381556163,2.386557498,2.386050633,2.376261954,2.359690661,2.328674854,2.27914449,2.233652838,2.186254785,2.130582513,2.060145718,1.98157141,1.910282056,1.843899716,1.786135751,1.715769565,1.667246818,1.619928558,1.563299735,1.539012552,1.514107592,1.486504265,1.487720981,1.456527672,1.375211283,1.303355032,1.241420626,1.180213955,1.12991417,1.095906125,1.058338425,1.012368206,0.957984636,0.895632239,0.840883225,0.813813884,0.811598483,0.810511648,0.806314178,0.791721774,0.76197267,0.72824666,0.683439571,0.651994346,0.57935071,0.425360907,0.360180891,0.395928696,0.405467028,..
Brazil,BRA,"Population, female (% of total population)",,50.10763805,50.1133986,50.11814696,50.12243622,50.12619231,50.12910607,50.13138737,50.13327329,50.13497892,50.13687465,50.13915068,50.14190077,50.14576292,50.15165494,50.16023423,50.17155596,50.18544149,50.20129204,50.21800144,50.23477004,50.25131492,50.26770374,50.28402961,50.30076839,50.31853809,50.33741233,50.3571737,50.37747334,50.39787323,50.41805184,50.4379812,50.45803812,50.47850051,50.4991104,50.519667,50.5403894,50.56115696,50.58145324,50.60124234,50.61996241,50.63937165,50.65949256,50.67882494,50.69749791,50.71213577,50.73427814,50.76282623,50.78492838,50.80385848,..
Brazil,BRA,"Population, male (% of total population)",,49.89236195,49.8866014,49.88185304,49.87756378,49.87380769,49.87089393,49.86861263,49.86672671,49.86502108,49.86312535,49.86084932,49.85809923,49.85423708,49.84834506,49.83976577,49.82844404,49.81455851,49.79870796,49.78199856,49.76522996,49.74868508,49.73229626,49.71597039,49.69923161,49.68146191,49.66258767,49.6428263,49.62252666,49.60212677,49.58194816,49.5620188,49.54196188,49.52149949,49.5008896,49.480333,49.4596106,49.43884304,49.41854676,49.39875766,49.38003759,49.36062835,49.34050744,49.32117506,49.30250209,49.28786423,49.26572186,49.23717377,49.21507162,49.19614152,..
Brazil,BRA,"Population, total",,110213349,112875292,115600942,118380821,121207461,124063109,126923155,129790077,132658864,135515595,138336370,141104944,143826357,146502972,149143223,151724256,154275079,156794577,159265006,161735073,164202549,166661659,169159655,171641543,174018282,176301203,178503484,180622688,182675143,184688101,186653106,188552320,190367302,192079951,193701929,195284734,196876111,198478299,200085127,201675532,203218114,204703445,206107261,207455459,208660842,209550294,210306415,211140729,211998573,..
Brazil,BRA,Expense (% of GDP),,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.05946823,28.66252168,28.17499931,28.15048642,29.28223601,33.94917881,33.40516814,32.36105101,32.23129789,31.13615579,34.91197483,29.49810432,31.64143585,32.43110049,..,..
Brazil,BRA,Exports of goods and services (% of GDP),,7.013163072,7.245261155,6.692986079,7.240780049,8.962394873,9.622840371,7.900484525,12.24375557,15.03541254,12.9485791,9.21727907,9.828482027,11.66735855,8.929609672,8.197236485,8.677636599,10.86831166,10.50327166,9.513076427,7.528875038,6.730209685,6.983649577,7.030500335,9.56489826,10.18804801,12.37171067,14.23059027,15.18078371,16.54576151,15.24382927,14.3743163,13.3276751,13.53400051,10.85137114,10.86558478,11.58251268,11.87753907,11.74223065,11.01194282,12.90019142,12.46667904,12.51896787,14.6349995,14.12291919,16.45355201,19.10943037,19.630765,17.9693243,17.93857944,..
Brazil,BRA,GDP (constant 2015 US$),,6.10961E+11,6.41107E+11,6.7297E+11,7.1846E+11,7.84558E+11,7.51214E+11,7.57449E+11,7.35256E+11,7.7496E+11,8.35794E+11,8.98395E+11,9.30108E+11,9.2955E+11,9.58924E+11,9.17211E+11,9.26678E+11,9.21637E+11,9.67024E+11,1.02362E+12,1.06686E+12,1.09042E+12,1.12744E+12,1.13125E+12,1.13655E+12,1.18642E+12,1.20291E+12,1.23964E+12,1.25378E+12,1.326E+12,1.36846E+12,1.42268E+12,1.50903E+12,1.5859E+12,1.58391E+12,1.70315E+12,1.77084E+12,1.80486E+12,1.85909E+12,1.86846E+12,1.80221E+12,1.74317E+12,1.76623E+12,1.79774E+12,1.81968E+12,1.76006E+12,1.84388E+12,1.89951E+12,1.96108E+12,2.02814E+12,..
Brazil,BRA,GDP growth (annual %),,10.25712953,4.93432807,4.969897689,6.759560122,9.2,-4.25,0.83,-2.93,5.4,7.85,7.49,3.53,-0.06,3.16,-4.35,1.032189585,-0.544072051,4.924690005,5.852870364,4.223793634,2.208864051,3.394845985,0.338097902,0.467937567,4.387949444,1.389896404,3.053461857,1.140828999,5.759964637,3.202132062,3.961988709,6.069870607,5.094195448,-0.125812003,7.528225818,3.974423079,1.921175985,3.00482267,0.50395574,-3.545763393,-3.275916906,1.322869054,1.783666761,1.220777823,-3.276758796,4.76260438,3.016694354,3.241655328,3.419315166,..
Brazil,BRA,Gross savings (% of GDP),,19.16298454,19.763868,19.5403653,18.32136235,17.68957929,19.03980402,15.87780747,14.275817,17.48867873,20.18363203,17.90151585,22.66060326,25.65368371,35.80855575,18.95279437,18.73288253,20.1983916,20.25435679,19.11504002,14.43936254,14.04132102,13.71115851,13.89045289,12.73690142,13.99170314,13.59459734,15.40587227,16.41794183,18.85501894,18.11409554,18.40981625,19.34636036,19.22684661,16.38036504,17.80239933,18.60126641,17.6781085,18.15169084,16.13440499,14.52934719,13.42175304,13.57776971,12.70741995,12.30640061,14.84008182,17.21702446,15.88750917,15.03950431,14.14115082,..
Brazil,BRA,"Inflation, GDP deflator (annual %)",,41.20362402,45.39805621,38.22761123,54.36596003,92.14194461,100.5288771,101.0343947,131.4840451,201.7402821,248.5436591,149.1793183,206.2087087,627.9514702,1304.424209,2736.970678,416.6780939,969.0129629,1996.150247,2240.168866,93.97804305,18.45624377,7.72902341,4.924361587,8.010500877,5.606065153,8.225094316,9.798112234,14.09102153,7.752060759,7.431224757,6.774274093,6.439038102,8.77855273,7.313482742,8.423338339,8.31859222,7.943126937,7.504564533,7.846709751,7.566175008,8.103604373,3.671384504,4.493534328,4.224258864,6.472499623,13.04727086,8.570281961,5.159501075,4.079674484,..
Brazil,BRA,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.752,13.119,11.406,12.354,13.261,14.628,16.616,19.251,20.639,20.327,20.019,20.603,21.382,20.034,21.399,19.883,18.795,17.556,19.774,18.239,16.928,15.854,15.7,15.496,19.493,26.596,28.593,27.958,27.098,30.267,28.311,20.732,17.938,15.674,13.981
